Somali_homograph,Meaning_Index,Somali_definition
shimbir,3,"Shimbir meel dhexaad ah, midab qurxoon oo xasharaadka cuna. shinbir."
shir,1,Isu imaadka dad badan isugu imaadaan meel si ay arrimo waaweyn oo u dan ah uga wada hadlaan.
shir,2,"Baabuur intiisa hore, meesha uu waduhu fariisto."
shir,3,"Ciyaar sacab, jaan iyo miro leh kana mid ah hiddaha iyo dhaqanka Soomaaliyeed, hab dhoola tusad ahna leh."
shir,4,Meel daloosha daboolid.
shir,5,Gabar la guday tolid.
shiraac,1,"Maro weyn oo adag qaabab badanna loo yeelo oo lagu xiro dakhalka doonyaha, oo marka dabayshu buubiso doonyaha hore u wada."
shiraac,2,Dhar adag oo qallafsan lagana dhigto darbaal iyo teendho. shiraaq.
shiro,1,Qalashada neef xoolo ah la qasho waqti abaar ah.
shiro,2,neef loogu talaggalay in la qasho.
shiro,4,Meel daloosha awdasho.
shub,1,"Dhis ka samaysan bir, ciid, quruurux iyo shamiinto isku dhafan oo isku qallalay."
shub,2,"Cayaar ka mid ah cayaaraha hiddaha iyo dhaqanka soomaaliyeed, leh jiib iyo jaan oo ragga iyo dumarku wada dheelan."
shub,3,Hoore meel keddin.
shub,4,Xoolo waraabin.
shub,5,Lacag bangi dhigid.
shub,6,"Quruurux, ciid, shamiinto iwm dhismo ka samayn."
shub,7,Bir iwm dhalaalin.
shucaac,1,Iftiinka qorraxda.
shucaac,2,"Tamarta ka dhalata mataataxa ku dhaca walxaha qaarkood, sida yuraaniyanka iwm."
shugri,1,Mahadcelin.
shugri,2,cid u mahad celin.
shukul,1,Tumidda badar kal iyo mooye lagu tumo si isha looga bixiyo.
shukul,2,Wax sukuliye ku tumid.
shukul,3,Badar si isha looga bixiyo aayar tumid.
shukul,4,Digir duban qob ka qaadid. sukul2.
shulshul,1,"Laalaabka googaradaha haweenka, daahyada, darii shadaha iyo albaabadu ay ku yeeshaan meesha dulaca laga geliyo."
shulshul,2,Raamaha loo yeelo darfaha maryaha qaarkood ee lagu qurxiyo.
shulshul,3,"Googarad, daah iwm laalaab u yeelid."
shulshul,4,Maro darfaha faraq uga yeelid.
shushub,1,Dabaadiga guga xilli roob aad u badani ka da'o gobollada koonfureed gaar ahaan jubbooyinka.
shushub,2,Maro iwm dacalkeeda shulshul u yeelid.
shushub,3,Hoore weel kedgeddin.
shuun,1,Timo ka soo baxa gumaarka dadka; bisqin; bisqan.
shuun,2,Boqorradda shinnida. shuunley m.dh Gumaarka dadka.
shuur,1,Dhul dhir badan leh oo jiq ah; cayn.
shuur,2,Badar dhagax biyo uga saarid.
shux,1,Duxda ka baxda shay dufan leh marka qorraxda la dhigo.
shux,2,Socod xarrago yar ku jirto.
caabbin,1," Saamiga keyd faraqa ee geftinnada gudbiye iyo qulqulka danabka ee dhexmaraya gudbiyaha. Sidaas awgeed, caabbi waa caabbirka hakinta qulqulka danabka. R = V/I taas oo V ay tahay keyd faraqa, I ay tahay qulqulka danabka. Caabbiga waxa lagabbiraa oom ."
caabbin,2,"Iska caabbin cadow ama weerar dagaal, ficil ay dadku ku qaadaan si ay u helaan xornimo, ama iskacelin weerar."
caabuq,1,Hurgumidda meel dhaawac ah; fasas.
caabuq,2,"nafley xoog lahayd oo jirro,"
caabuq,3,Halaamacoodka caloosha iyo mindhicirka sida badan waxa keena fiirus ama baktiiriya ama cunno sumow; wuxuuna keenaa matag iyo shuban.
caabuq,4,Meel dhaawac ah hurgumid.
caabuq,5,"Nafley tabar darreyn jirro, nafaqo darro iwm awgeed."
caad,1,Xayaabo daruur ah oo meel sare ka muuqata.
caad,2,Xuub cad oo isha qaybteeda madow fuula oo aragga yareeya.
caad,3,Meel dhagax ballaaran oo siman leh oo ciid ku hareereysantahay oo biyaha celisa.
caad,4,C.daas joog/c.daas mar: wax buux ah ; qof fiican.
caadbax,1,caadbixid.
caadbax,2, bannaan u soo bixid; muuqasho.
caadbax,3,qof daacad ah ahaansho.
caag,1,"Adke loodsame ah, si fudud ubta oo waxyaabo badan laga sameeyo."
caag,2,Wax kasta oo balaastiig ka sameysan.
caag,3,Meel yara godanoo biyo qabatin leh.
caag,4,Walax loo yeeli karo qaab marka la adeegsado kul ama cadaadis. Caagagga badankooda waxa laga sameeyaa xabko macmal ah oo la tarmiyey.
caag,5, gasiin iwm dhaqan awgiis uga go'id.
caajis,1,Firfircooni la'aan; wahsi; daal.
caajis,2,"qof hawl nacayb, wahsi badan. cajis1."
caajis,3,Hawl qaban waayid; ka wahsasho; daal iyo cagajiid wax ku qabasho bilaabid; soo tabaryarayn. cajis2.
caal,1,"Cudur lo'da, idaha ka barariya caloosha oo uu keeno gooryaan caloosha kaga dhashay."
caal,2,"Harag dheer, balaqsan oo lo'da luqunteeda dhinaca hoose ka laallaada."
caal,3,Lo' ama ido cudur caloosha ka barariya ku dhicid.
caanateel,2,xoolo lagu dhaqo meel u dhow tuulo ama magaalo si caanahooda loo suuqgeeyo.
caanateel,3,qof dhaqa xoolahaas.
caarooti,1,Cir cusub oo daruurihiisa biya ka buuxaan.
caarooti,2,"Meseggo, galley iwm oo sabuul saartay."
caarooti,4,Biyo meel ku faafid.
caashaq,1,cishqi. Kalgacal qoto dheer oo aadanaha labkiisa iyo dheddigiisa dhex mara; jacayl.
caashaq,2,Qof mid kale oo cayntiisa ka duwan kalgacal qoto dheer u hayn.
caashaq,3,"markab, baabuur, xoolo iwm meel wejigooda ku aaddin."
cabaad,1,Dhawaaq dheer oo geelu sameeyo marka la xanuujiyo.
cabaad,2,"Calaacal, cataw ."
cabaad,3,cabaadid.
cabaad,4,Neef geel ah oo la xanujin si uabaad u sameeyo.
cabbaar,1,Waqti aan badnayn ama aan fogayn.
cabbaar,2,Masaafo aan dheerayn.
cabbaar,3,Masaafada rati rarani ku daalo.
cabbir,1,"Qiyaas lagu heshiiyey oo caddeyneysa wax dhererkiisa, muuqiisa iwm."
cabbir,2,"Habka loo qiyaaso dherer, mug, culays iwm."
cabbir,3,Fikrad iwm sheegid.
cabo,1,"Biyo, weel caanood lagu shubay oo yeeshay dhadhan la karhado."
cabo,2,Erayo calaacal ah dhihid.
cad,1,"Midabka caanaha, nuuradda iwm ee soo celiya ilayska qorraxda."
cad,2,Wax bayaan ah oo aan shaki ku jirin.
cad,3,Waa ka caddahay: waa liitaa.
caddaan,1,Midabka cad.
caddaan,2, lacag wax lagu kala iibsaado oo aan badeeco ahayn.
caddib,1,Luggooyo; kadeed.
caddib,2,Cid shiddo iyo dhibaato gaarsiin.
caddil,1,Fal dhici lahaa ka daahid iyadoo cid loo eersanayo.
caddil,2,Is wax isu dheelli tirid.
cagaag,1,"Wax sida dhagax, gaxandho iwm oo cagaha waxyeela marka kabo la'aan lagu socdo."
cagaag,2,"Dhibaatada caguhu ka mutaan marka lagu socdo meel leh dhagax, qaruurax, gaxandho iwm."
cagabbeel,1,Hanti yar oo la siiyo qof baadi doonay.
cagabbeel,2,"qof, baadidoon daal badan kala kulmid."
cagajiid,1,Socod aayar ah oo wahsi ku jiro.
cagajiid,2, si aan caddaan ahayn u diidid wax loo diray.
calaacal,1,calaancal . Hadal beerlaxawsi leh oo lagu muujinayo dhibaato dhacday oo taakulayn u baahan.
calaacal,2,Gacanta dadka inteeda hoose ee cad; baabbaco; saca
calaf,1,Dheef xag Ilaah ka qoran; risiq.
calaf,2,Kab duug ah.
calaf,3,"Ilaah, cid wax risiq ugu dhigid."
calan,1,"Cad maro ah oo dowlad, hay'ad, maamul iwm astaan u ah."
calan,2,Midab madow oo ay iduhu qaarka hore ku yeeshaan.
calan,3,"Barwaaqo, caafimaad iwm oo ka muuqda xoolaha jirkooda."
calas,1, biyo saafi ah.
calas,2, maraq dufankiisu yaryahay.
calas,3,midab casaan xigeen ah; maarniin.
calas,4,"Biyo ama fuud aan miir ahayn calow galay, qasan."
calas,5,Midabyo isku laban .
callaal,1,"Kiish yar oo caw ka samaysan oo hilibka, timirta iwm lagu rito."
callaal,2,Qof laga rabo in uu hawl qabto deeq yar siin; laaluushid.
callaq,1,Wax meel ka laalaadin.
callaq,2,Wax jaho ku aaddin.
calmi,1,Dersi; cashar.
calmi,2,Cid dersi siin.
calow,1, biyo dhoobo ku qasantahay.
calow,2,midab calas ah.
calwasaad,1,Hadal qof hurdayo uu ku hadlo; qarow.
calwasaad,2,Xaalad muddo gaaban ee maskaxda shaqadeedu isku qasanto oo la socoto jirro maskaxda.
camalfal,1,Camal wanaagsan Eebbe dartii u sameyn.
camalfal,2,amar sidii laga rabay u fulin.
cambaar,1,Roob da'a xilli jiilaal.
cambaar,2,"Cudur maqaarka ku dhaca oo goobogoobo waaweyn oo cuncun leh u yeela; halaamacood maqaarka intiisa sare oo leh cuncun, finan iyo qolof."
canshuur,1,Lacag boqolkiiba in laga qaado hantida dadweynaha si ay dawladdu ugu fuliso danta guud.
canshuur,2,Hanti canshuur ka bixin.
canshuur,3,Cid canaadid.
cantar,1,Kibir; aabi.
cantar,2,"aan ulajeeddo fiican lahayn, aan macne lahayn ."
cantar,3,Hadal aan nuxur badan lahayn sheegid.
cantatab,1,Qof aad u da'weyn oo caqligiisu doorsoomay.
cantatab,2," hadal aan milgo lahayn oo cabsi, argagax iwm keenaan. "
cantatab,3,"Cabsi darteed, si jaahwareersan oo aan caqligal ahayn u hadlid. catatab2."
car,1,Qadiidka ku hara weel la culay.
car,2,Car noqosho.
carcar,1,Cudur finan leh oo naasaha geela ku dhaca.
carcar,2,Midab baraashirix ah oo ay riyuhu ku yeeshaan qoorta.
carcar,3,Awood dihin oo aan weli wax lagu qaban.
carrabbaab,1,Gefka carrabka; halmaan.
carrabbaab,2,Wax xusid ama sheegid.
carrabbaab,3,Si qalad in yar oo tibix ah ka sheegid.
cartan,1,Qaylo iyo wax burburin ay sameeyaan nafleyda qaar marka ay xanaaqaan. cartamid.
cartan,2,Ur aad u udgoon wax ka soo urid.
cartan,3,car
cas,1,"Kaaha midabka huruudda u eg oo arooryada hore ka muuqda dhanka bari, inta ayan qorraxdu soo bixin."
cas,2,Meel bannaan oo ciid jilicsan leh oo la dego.
cas,3,Midab guduud xigeen ah.
cas,4,Sayn yaroo meel ka hoora.
cas,5,Meel bannaan.
cas,6,Wax midabkiisuduud furanyahay ahaansho. casaan1  .C.  midab guduud furan ah.
casmali,1, shaah aan caano lagu darin; bigays.
casmali,2,Tarbuush guduudan.
catiir,1,Sariir ka samaysan qoryo iyo xarig caw ah.
catiir,2,Xarig caw ka samayn.
caw,1,Dhinac; dhan.
caw,2,Aagga u dhow meel. 
caw,3,"Caleemo dhaadheer, laga sameysto darin dambiil, xarig iwm. oo ka baxda geed la bah ah timirta iyo baarta. caaw2."
cawar,1,Nooc ka mid ah libaax badeedka oo aad halis u ah.
cawar,2,Qof il la' ama nabar ku leh. 
cawar,3,Nafley dhaawac gaarsiin.
cawar,4,"Nafley iftiin weyn, indhaha uga qabasho. "
cawaweer,1,Nooc ka mid ah libaaxbadeedka.
cawaweer,2,Waqtiga ay qorraxdu dhacdo oo aan si fiican wax loo arag; himhimow. cawaweero.
cawggiir,1,Caw rinji la geliyay.
cawggiir,2,ka dhig: si xun wax u baabi'in.
cawggiir,3,Si xun wax u baabi'in.
cawl,1,Midab casaan xigeen ah.
cawl,2,"Ugaarta waaweyn jaad ka mid ah, leh midab casaan xigeen ah, geesa"
cawri,1,"Xin, kuuni."
cawri,2,"Il, dhabato, illaaco, cawro."
cawri,3,Hanti cid leedahay kuunyid.
cawsley,1,Dad caws qada.
cawsley,2,Dhul caws keliya ka baxo.
cawsley,3,"gobollada dunida ee degaankooda dabiiciga ahi uu ka koobanyahay caws; roobka ka da'a ma bixin karo kayn, isla markaas uu ka badanyahay midka ka da'a lamaddegaannada. Sidaas awgeed cawsleydu waxay ku dhacdaa dhulalka u dhexeeya kaymalayda iyo lamaddegaannada."
cay,1,Dhareer; calyo.
cay,2,caay . Hadal ama fal qadaf ah oo cid loola jeedo.
cay,3,"God, shabaq, siriq ama bir iyo dabin kale oo loo dhigo ugaarta si ay ugu dhacdo."
cay,4,Geedaha beerta laga guro oo inta la aruuriyo la gubo.
cayaar,1,Madaddaalo tab iyo xeel loo dheelo leh oo ay dadku waqtiga isku dhaafiyaan.
cayaar,2,"Fal, jaan iyo jiib leh oo ay dhallinyaradu habeenkii waqtiga iskudhaafiyaan."
cayaar,3,"Tartan kubbad, orod iwm."
cayaar,4,Kaftan aan run ahayn. ciyaar1.
cayaar,5,Madaddaali tab iyo xeel leh waqti isku dhaafin.
cayaari,1,"Garangar yar oo inta xarig laga dhexdudisiyo, waxyaalaha culus lagu shubashubeeyo; khafyad. ciyaari1."
cayaari,2,Wax ciyaar ku madaddaalin.
caymo,1,In ka samatabaxday hanti burbur ku dhacay.
caymo,2,Kaalmo aan badnayn oo la siiyo cid hantidii ay lahayd dhaaftay. caynaano.
caymo,3,Wax halis ka samatabixid.
caymo,4,Xoolo lumay ama la dhacay in yar ka badbaadid.
cayn,1,"Xarig isaga gudbo labada dhinac, oo rarka ku adkeeya gaadiidka nafleyda ah."
cayn,2,Nooc; jaad.
cayn,3,"Si, hab, qaa"
cayn,4,"Dir naxweed haqa leh in ay kala saarto labka iyo dheddigga ee magacyada, magacuyaallada iyo qaabka falalka . Ereyada weertan cayn dheddigeed ayey wada muujiyeen: magaca, magacuyaalka iyo falkuba."
cayuun,1,Geel gaagaaban oo laga helo deexda.
cayuun,2,Eegmo dhibaato leh oo dadka qaarkii leeyahay. acyuun.
ceeryaan,1,Dhado iyo ciiro isku jira.
ceeryaan,2,"Cuf dhibco biyood ah oo ku jira lakabyada hoose ee gibilka, waxaana u sabab ah uumibiyoodka biyaha isugu rogaya hawada dhexdeeda, taas oo keenta aragtida oo si dhexdhexaaha u yaraata."
ceydbax,1, helidda cid ceyd hayey hesho qalab ama gaadiid.
ceydbax,2,Cid ceyd hayey qalab ama gaadiid helid.
ci,1,"Cod dheer oo ay nafleyda qaar sida shimbiraha, bahallada iwm sameeyaan."
ci,2,Cid u yeerid.
cid,1,Koox dad ah oo meel ku wada nool.
cid,2,Qof ama wax ka badan. Tus. Maanta c. ma arag.
cid,3,Qaraabo; reer.
cid,4,Cid biyo ku hafin.
cidan,1,Dhulka geed gaabka qodaxda lihi ku badanyahay.
cidan,2,Wax la ciday noqosho.
cigaal,1,Xarig dun madow ka samaysan oo cimaamadda madaxa lagula xajiyo.
cigaal,2,Tuuryo meel dheer ku dhacda. cigaal3 
cigan,1, dhul geed qodxeedku ku badan yahay.
cigan,2,Dhul leh dhir aan weli la daaqin.
cigan,3,"Meel, wax geedo leh oo aan la daaqin noqosho."
cigan,4,"Weel, wax hoore laga buuxiyey ahaansho."
ciid,1,"Dhulka qaybtiisa sare ee dhirtu ka baxdo oo ka samaysanta dhagxaan ay dabeel, qorrax iwm burburiyeen; carro."
ciid,2,iid . Maalin ay ummad qaddariso oo hawlaha laga nasto.
ciilkambi,1,ciilkambiyid.
ciilkambi,2,ciil ama xanaaq muujin.
ciilkambi,3,murugood.
ciilkambi,4,"shallayn, ka xumaasho."
ciiqo,1,Meel ciriiri ah oo maritaankeedu dhib yahay.
ciiqo,2,Nafley dhibaato la kulmid.
ciir,1,Firiiric yaryar oo oogada nafleyda ka soo yaaca.
ciir,2,Caano subaggii laga baxshay oo dhanaan.
ciir,3,Wax miisaankiisa dhan u iilasho.
ciiro,1,Midabka ciiryaamada; wixii kaloo midabkaas yeesha .
ciiro,2,Boor ay dabayl kicisay.
ciiro,3,"Cuf saxarro yaryar oo boor ah, qiiq iwm kuwaas oo qariya gibilka ilaa iyo meel u dhaw dhulka dushiisa, taas oo keenta in uu yaraado araggu ilaa iyo 2 Km. meel ka hooseysa marka laga soo cabbiro dhulka dushiisa, laakiin  Km. ka hoos ciiradu kama jirto."
cilaaq,1,ilaaq. Hadal aan milgo lahayn oo iska muran ah.
cilaaq,2,Saxaro.
cilaaq,3,ilaaq 2. Muran maag iyo hagag leh cid u jeedin.
cilin,1,Nin dhererka caadiga ah aad uga gaaban.
cilin,2,Qof qaarka dambe naafo ka ah.
cilin,3,Haweeney dhererka caadiga ah aad uga gaaban.
cilin,4,miro jirro awgeed la yaryaraaday.
cillaan,1,"Geed abaareed weyn, cufan, calemo yaryar leh, qodax lahayn oo ubaxiisu udgoon yahay."
cillaan,2,"Budo caleen oo marka la qaso ciddiyaha, timaha iwm laguduudsado."
cillaan,3,"Xammaarato yar, quruxsan, oo ay mulaca isku bahyihiin, afar addin iyo dabo dheer leh oo geedaha fuusha. cillaangeedafuul."
cimilgal,1,Dabin; laqdabo: dhagar.
cimilgal,2,nafley si loo dago cimil ugu dhuumasho.
cir,1,"Samada sare, buluug ah oo ay xiddiguhu ka muuqdaan."
cir,2,Xaddiga cuntada ee qof caloosha ku qaadi karo.
ciriiri,1,Meel dhex mariddeedu dhib tahay yaraan awgeed.
ciriiri,2,"Meel aan waxa ku jira qaadin, yaraan awgeed."
ciriiri,3,Waqti aan ku filnayn in hawl lagu qabto. cariiri1.
cirrid,1,Hilibka ku yaal labada fuq ee afka nafleyda oo ilkaha haya.
cirrid,2,Sooh xiriirka iyo xuubka daboola oo isku haya ilkaha iyo daamanka.
citiqaad,1,"Diin, mabda' iwm aaminid."
citiqaad,2,cid meel iwm u qasdiyid.
ciyow,1,Shimbir gelinka hore ee habeenkii cida.
ciyow,2,"Si dhaqso ah, si degdeg ah."
cod,1,"Dhawaaq afka ka soo baxa marka la hadlayo, ama la heesayo, ama la qaylinayo iwm."
cod,2,Diidmo ama oggolaansho laga dhiibto doorasho.
cod,3,"Maayad hawo, neefsi aan ahayn oo soo dhex jibaaxda seedcodeedyada kana soo baxda moqorrada hadalka midkood."
cub,1,cuf. Shay yar oo meel daloosha lagufeeyo; cuf.
cub,2, ereyo kolka la cubtamayo la yiraahdo. 
cub,3,Dalool yar gufeyn.
cuncun,1,Xajiin oogada nafleyda ku dhacda oo keenta xoqod badan.
cuncun,2,"Xaalad cudur oo ka timaadda falgal jirku kaga hortagayo dhibaato dibedda uga timid, waxay xaaladdaasu noqon kartaa: mid muddo gaaban ama mid muddo dheer. Holaca muddada gaaban waa falgal difaac oo degdeg ah oo ay soohyadu kaga hartagaan dhibaato ka timaadda: jermi nool, walax kiimikaad ama fiisikaad. Astamaha: xanuun, kul, cassaan, barar iyo hawl ga Xididdada dhiiga ee goobta waxaasi ka dhacayaan way dabcayaan oo ballaaranayaan sidaas darteed socodka dhiigga waa ku badanyahay goobtaas. Unugyada cadcad waxay galaan soohyada waxayna bilaawaan in heeraaryeeyaan baktiiriyada iyo waxyaabaha dibedda ka yimid soohyada waxay cunaan wixii dhintay oo way nadiifinayaan marar"
cunsur,1,Meesha wax asalkiisu ka soo unkamay.
cunsur,2,Dhibaato waxyeello weyn geysato.
curad,1,Wiilka ugu horeeya ee qof u dhasha. corad.
curad,2,Gabarta ugu hooreysa ee qof u dhalata.
curad,3,Neef xoolo ah oo da' ama ka badan dhalay. corad.
curan,1,"Xirmidda sanka neeftu ku xiranto, duray, sanboor iwm awgood."
curan,2,Wax neeftu ku xirantay noqosho .
curcur,1,Meesha ay dhudhunka iyo calaacasha iska galaan.
curcur,2,Buur yar; kood; gunbur.
curiye,1,Qofka wax curiya.
curiye,2,"Walaxda aan loo sii kala bixin karin walxo ka sii fudud asal haan. Atammada curiyuhu waxay dhammaantood leeyihiin tiro borotoon oo isku mid ah iyo weliba tiro isku mid ah oo elektaroon, taas oo jaangoysa firfircoonaanta kimikaad. Curiyayaasha, dabiici ahaan, laga helo dhulku waa ilaa 92."
curiye,3,"Erey guud oo tilmaama xubin ka mid ah xubnaha uu shay ka koobanyahay, sida erey oo ah xubin ka mid ah weerta ama dibkabe oo ah xubin ka tirsan ereyga."
curraaf,1,Neef ido ah dheddig oo laf yar.
curraaf,2,Cid sixrid.
curuq,1,Laab ama guntin yar oo gala wax la tolayo.
curuq,2,Xanuun yar oo laga dareemo murqaha iyo seedaha kolka fadhi lagu raago.
curuq,3,Shay la tolay ama la falkiyey guntiin yeelasho.
curyaan,1,Qof labada lugood beelay.
curyaan,2,Hawl socon waayday.
cusbo,1,"Wax cad oo leh dhadhan dhanaan oo cuntada lagu dhanaaniya. Dhulka ayaa laga qodaa, biyaha baddana waa ay ku jirtaa; milix."
cusbo,2,"Iskudhis ka kooban xidishe asiidh iyo mid beys, ama iskudhiska samaysma marka biri la falgasho asiidh ee haydarojiinta si buuxda ama dhiman loo barabixiyo."
cuur,1,"Ciyaarta laylada godadkeeda mid ka mid ah oo bocool, dhagxaan iwm ka buuxaan."
cuur,2,wax badan meel ku wada urursan.
cuur,3,Weel aad u buuxin. 
gaabi,1,Qiyaas dheerer oo intii laga rabay ka gaaban.
gaabi,2,Wax dheeraa wax ka dhimid.
gaabi,3,Aayar u socosho.
gaad,1,"Geedsaar leh miro macaan oo la cuno oo goroyaduna aad u jeceshahay, isla markaasna looga dhigto kabdhoodka"
gaad,2,Nafley si lama filaan ah ugu kedin.
gaadaan,1,Qarqarsi.
gaadaan,2,Awr la rarayo luqunta iyo jeeniga hore iskaga xirid si aanu u kicin.
gaaddabbuur,1,Orod aan dheereyn.
gaaddabbuur,2,faalaxgooddi dad badan sameeyaan oo cid lagu guulguulayo
gaado,1,Asluub; dhaqan.
gaado,2,Wax gaadmo ku dilid ama ku qabasho.
gaafootan,1,Kaltan.
gaafootan,2,gaafootamid. 
gaajabbeel,1,Reebidda gaajo ku haysay lagu reebo cunto yar.
gaajabbeel,2,Nafley baahneyd gaajo iska reebid. 
gaalib,1,Nooc fardaha orodkooda ka mid ah.
gaalib,2,Faras orod aan dheerayn samayn.
gaallays,1,  nooc warmaha waaweyn ka mid ah lagu dagaallamo.
gaallays,2,  toorrey dheer oo birsulub leh oo lagu dagaallamo.
gaar,1,Wax cid si gooni ah u khuseeya.
gaar,2,meel tegid
gaar,3,Magac guud iyo magac 
gaari,1,Gaadiid dhuleed matoor leh oo dadka iyo xamuulka lagu qaado.
gaari,3,Haweeney maamulka aqalkeeda iyo nadaafadda jirka aad u ilaalisa oo uga adag.
gaaroodi,1,"Dhul didib ah, bannaan oo ay ka baxaan dhir dhaadheer oo teelteel ah iyo dixin."
gaaroodi,2,Xubin bararan wax kulul ku kubbayn.
gab,1,Cod lagu muujiyo shanqar gaaban oo kedis ah. 
gab,2,Xil saaran ka soo bixi waayid .
gab,3,Wax samayntiisa awood u waayid. 
gabac,1,Hodmid meel ama wax lagu hodmo.
gabac,2,"Hawl, arrin iwm hodid."
gaban,1,Inan yar.
gaban,2,Deero yar oo lab ah.
gaban,3,wax tiro yar. 
gaban,4,gabadh yar.
gabar,1,Midab madow oo iduhu dhabarka ku yeeshaan.
gabar,2,Haweyney aan weli la guursan; inan.
gabar,3,"Cadrad. geber, gabadh."
gabax,1,Meel bannaan oo dabayl iyo dhaxan badan.
gabax,2,Si tartiib ah oo aan biyo dhig lahayn u di'id .
gabbaan,1,neef aan caano badan lahayn.
gabbaan,2,Nooc miisaan ah. 
gacan,1,Khoori.
gacan,2,Xubinta faraha leh ee dadka wax ku qabsado.
gacan,3,"Xubin dheer, madaxa maroodiga ka laallaadda oo uu wax ku qabsado kana neefsado."
gacan,4,Dhegta weelasha iwm.
gacanqaad,1,Dagaal yar oo gacan la adeegsanayo.
gacanqaad,2,Salaan kalgacaltooyo.
gacanqaad,3,Siin; waxbixin.
gacanqaad,4,gacanqaadid.
gacanqaad,5,Cid gacan salaamid.
gacanqaad,6,Qof xaal siin.
gacansaar,1,Iib qiimaha la bixinayo marka wax la kala gato.
gacansaar,2,Xiriir saaxiibnimo oo dhex mara laba qof ama ka badan.
gacansaar,3,lacag caddaan ah oo wax lagu kala iibsado.
gacansaar,4,gacansaarid.
gacansaar,5,"Cid, cid dagaal ka dhexeesa la heshiin."
gacanyare,1,Kaaliye; hoosjiooge.
gacanyare,2,"Bulshadii dhulgoosiga ninka ilaaliya boqorka, una qabta hawlaha militriga, kaddibna hela dhul uu ku noolaado."
gadaf,1,Wax qaab wareegsan leh.
gadaf,2,Wax lagu qariyo wax kale. 
gadaf,4,"Wax, wax kale ku dahaarid. "
gadawaar,1,Cirku marka uu qaawan yahay oo uusan daruur lahayn.
gadawaar,2,Daruur beelid .
gaf,1,Khalad.
gaf,2,Meelkadhac.
gaf,3,Khalad samayn.
gaf,4,Haleeli waayid.
gaf,5,cid meelkadhac samayn.
gahayr,1,Geed gaab u eg dhafaruurta oo leh laamo dhuudhuuban oo aqallada lagu dhisto.
gahayr,2,Miro curdan dhaafid.
gahayr,3,Qof doobnimo ku weynaansho. 
gal,1,Meel godan oo biyo ku jiraan.
gal,2,Warqad adag oo xaashiya lagu kaydiyo; fayl.
gal,3,Nuur dayaxa isku wareejiya.
gal,4,Buqshad.
gal,5,Shay wax lagu xafido .
gal,6,Wax dhexdi ama gudihii gaarid.
gal,7,"Arrin, hawl iwm wax ka qabasho."
gal,8,Ka ggod muhiim ah qof uga hor marid .
galaabbax,1,Socod badan oo meel horay iyo gadaal loogu socdo.
galaabbax,2,Meel horey iyo gadaal ugu noqnoqosho. 
galaal,1,Diillin cad oo madaxa idaha bartanka kaga tal.
galaal,2,"Dambas, nuurad iwm oo qof la fooray wejiga laga mariyo."
galaal,3,"Qof laga badiyey turub wajiga dambas, nuurad iwm ka marin."
galaalo,1,Neef ido ah oo madaxa madow oo foolka calaamad cad ku leh.
galaalo,2,Cid galaal marsasho.
galaan,1,Xarig awrka lagu keeneeyo.
galaan,2,Weel yar oo biyaha lagu darsado.
galaan,3,Weel dheg leh oo afar litir qaada.
galaan,4,Si gaar ah timo u tidcid.
galaayuus,1,"Qaylo, dhaadasho."
galaayuus,2,Olol iyo juuc badan oo ay nirguhu sameeyaan markay gaajoodaan.
galaayuus,3,"Qaylid, dhaadasho."
galaayuus,4,Nirgo gaajooday olol iyo juuc badan samayn.
galac,1,Waran af ballaaran oo birtiisu wada soofeysantahay.
galac,2,Cod lagu muujiyo if kedis ah. 
galgaal,1,"Xiddig soo baxa, marka dirirku u dhowaado dayaxa."
galgaal,2,Dheddig gool noqotay .
galgaal,3,Nafley dheddig gooloobid.
galoof,1,ishkin dheddig oo aan irmaaneyn.
galoof,2,"Neef xoolo ah, wax aan irmaanayn rimanaynna noqosho. "
galool,1,"Geed weyn, qaydarka la bah ah, laf adag, mayrax adag iyo asal wanaagsan leh."
galool,2,"Duub wareegsan oo liifad, tubaako iwm ka sameysan."
galool,3,Xidid hab gaar ah loo wareejiyay oo sagaarada lagu dabo.
galool,4,Qayb ka mid ah mindhicirta nafleyda.
galool,5,Qayb ka mid ah debinka ugaarta loo dhigo.
galool,6,Xarig iwm dhawr jeer isku wareejin si duub looga dhigo.
gambo,1,"Maro madow, qafiif ah, daldalool leh oo haweenku madaxa saartaan."
gambo,2,Kumi .
gambo,3,Geeso xoolaad oo gadaal u jeeda.
gambo,4,Wax la soo tuuray ka leexasho. gabbo.
gammaan,1,"Naasleyda qayb ka mid ah oo ay ka mid yihiin fardaha, baqlaha, dameeraha iyo farowga."
gammaan,2,Nooc kalluunka badda ka mid ah.
gan,1,Dhogorta nafleyda oogadeeda ka baxda.
gan,2,"Farqaha dhanhoosaadka dermada, kebedda iyo raarka."
gan,3,"Heer dhaqaale, bulsho ama siyaasad."
gan,4,Gammuunka halkiisa dambe oo jeexan oo xarigga la saaro marka la gamayo.
gan,5,Labada ilig ee sare middood.
ganac,1,Xubin dhuuban oo ku taalla caloosha hoosteeda; waxay ka laallaaddaa oo dhacaankeeda hubtaa godanta .
ganac,2,Beec; iib
gannad,1,Cayayaan u eg gendiga oo xoolaha dhiigga ka nuugta ayadoo geela ku reebta cudurka dhukaanka.
gannad,2,Caatoobidda xoolaha siiba geela marka dhukaanka ku dhaco ama abaari hesho;jaynaf
